"","mean.rank.diff","pval"
"CA-AZ",-120.777331002331,0.331606940997723
"CO-AZ",-46.1460942158617,1
"ID-AZ",212.751602564103,0.0119291086350986
"MT-AZ",-222.563231267115,0.00695207114518586
"NM-AZ",-291.013790131437,2.80055551578809e-05
"NV-AZ",28.5331457160726,1
"OR-AZ",3.88487438487437,1
"UT-AZ",40.8044871794872,1
"WA-AZ",323.989010989011,2.9446347047347e-07
"WY-AZ",-365.402791301525,1.12594363285407e-06
"CO-CA",74.6312367864693,1
"ID-CA",333.528933566434,2.45262947337094e-08
"MT-CA",-101.785900264784,0.82915437427366
"NM-CA",-170.236459129106,0.0214265546170601
"NV-CA",149.310476718404,0.191919107760157
"OR-CA",124.662205387205,0.042408769844637
"UT-CA",161.581818181818,0.0119291086350986
"WA-CA",444.766341991342,1.29682175344538e-18
"WY-CA",-244.625460299194,0.00106578688902796
"ID-CO",258.897696779964,0.000427515326499587
"MT-CO",-176.417137051253,0.0626757409142686
"NM-CO",-244.867695915575,0.00060501967647103
"NV-CO",74.6792399319343,1
"OR-CO",50.0309686007361,1
"UT-CO",86.9505813953489,1
"WA-CO",370.135105204873,5.30815536494694e-10
"WY-CO",-319.256697085664,2.80055551578809e-05
"MT-ID",-435.314833831217,2.02807919818633e-10
"NM-ID",-503.76539269554,5.01447106722919e-15
"NV-ID",-184.21845684803,0.109746545097063
"OR-ID",-208.866728179228,0.00139562110348232
"UT-ID",-171.947115384615,0.0481395244837464
"WA-ID",111.237408424908,0.820922117254021
"WY-ID",-578.154393865628,5.17729783469872e-16
"NM-MT",-68.4505588643224,1
"NV-MT",251.096376983187,0.00469403516915691
"OR-MT",226.448105651989,0.000376171247355626
"UT-MT",263.367718446602,0.000105939464805749
"WA-MT",546.552242256126,2.57918276452549e-19
"WY-MT",-142.839560034411,0.553013555872317
"NV-NM",319.54693584751,2.92614331995495e-05
"OR-NM",294.898664516312,7.56387868066975e-08
"UT-NM",331.818277310924,3.8221387394461e-08
"WA-NM",615.002801120448,1.40856141906759e-26
"WY-NM",-74.3890011700883,1
"OR-NV",-24.6482713311982,1
"UT-NV",12.2713414634146,1
"WA-NV",295.455865272938,7.14733725705906e-05
"WY-NV",-393.935937017598,1.22108602939842e-06
"UT-OR",36.9196127946128,1
"WA-OR",320.104136604137,1.05687814720708e-10
"WY-OR",-369.2876656864,4.86467922160052e-09
"WA-UT",283.184523809524,1.12594363285407e-06
"WY-UT",-406.207278481013,2.03847229327648e-09
"WY-WA",-689.391802290537,4.22248745659298e-26
