"State","Var","Stat","DF","PVAL","note"
"AZ","CO",33.3047618490976,1,7.87894744352058e-09,""
"CA","CO",14.4082900088322,1,0.000147153076224103,""
"CO","CO",1.3731965354808,1,0.241263433075298,""
"ID","CO",367.005925608245,1,8.39660985781067e-82,""
"MT","CO",488.201247112824,1,3.50914819023755e-108,""
"NV","CO",2.11133071759835,1,0.146212125198349,""
"NM","CO",13.2658216824345,1,0.000270288961204266,""
"OR","CO",29.5331546777797,1,5.49683192924354e-08,""
"UT","CO",2.15572367079582,1,0.142039507299186,""
"WA","CO",73.6492776648662,1,9.33059840656539e-18,""
"WY","CO",21.5468114570501,1,3.45296297439075e-06,""
