"","mean.rank.diff","pval"
"CA-AZ",-379.179448329448,1.14154374177842e-11
"CO-AZ",-261.035579407672,0.000236336433754568
"ID-AZ",-351.09788743751,3.23975051091289e-07
"MT-AZ",-370.004646917268,6.65959252382822e-08
"NM-AZ",-46.1548875960641,1
"NV-AZ",-361.112153429227,1.30715007057719e-06
"OR-AZ",-387.521367521368,2.02659773037283e-13
"UT-AZ",-134.918192918193,0.40476181886278
"WA-AZ",-339.271934414792,6.65959252382822e-08
"WY-AZ",-317.934166396192,5.40938974513969e-05
"CO-CA",118.143868921776,0.52969002333284
"ID-CA",28.0815608919382,1
"MT-CA",9.17480141218005,1
"NM-CA",333.024560733384,4.66224613615126e-09
"NV-CA",18.0672949002218,1
"OR-CA",-8.34191919191915,1
"UT-CA",244.261255411255,5.76923197693764e-06
"WA-CA",39.9075139146568,1
"WY-CA",61.2452819332567,1
"ID-CO",-90.0623080298377,1
"MT-CO",-108.969067509596,1
"NM-CO",214.880691811608,0.00630687369623199
"NV-CO",-100.076574021554,1
"OR-CO",-126.485788113695,0.252001281196027
"UT-CO",126.117386489479,0.510070148692741
"WA-CO",-78.2363550071192,1
"WY-CO",-56.8985869885192,1
"MT-ID",-18.9067594797582,1
"NM-ID",304.942999841446,1.81971825884161e-05
"NV-ID",-10.0142659917165,1
"OR-ID",-36.4234800838574,1
"UT-ID",216.179694519317,0.00406656339627522
"WA-ID",11.8259530227185,1
"WY-ID",33.1637210413185,1
"NM-MT",323.849759321204,4.49470676319134e-06
"NV-MT",8.89249348804174,1
"OR-MT",-17.5167206040992,1
"UT-MT",235.086453999075,0.00123251605046373
"WA-MT",30.7327125024767,1
"WY-MT",52.0704805210767,1
"NV-NM",-314.957265833163,4.89090037233836e-05
"OR-NM",-341.366479925303,1.67272269146158e-10
"UT-NM",-88.7633053221289,1
"WA-NM",-293.117046818728,6.13672529476582e-06
"WY-NM",-271.779278800128,0.0012704658739666
"OR-NV",-26.4092140921409,1
"UT-NV",226.193960511034,0.00677968000744951
"WA-NV",21.840219014435,1
"WY-NV",43.1779870330349,1
"UT-OR",252.603174603175,3.24425055753802e-07
"WA-OR",48.2494331065759,1
"WY-OR",69.5872011251759,1
"WA-UT",-204.353741496599,0.00226068406525569
"WY-UT",-183.015973477999,0.0976279408914019
"WY-WA",21.3377680185999,1
