"","mean.rank.diff","pval"
"CA-AZ",-1832.27781431954,3.01131536107879e-63
"CO-AZ",-743.151131333006,7.75643397026497e-06
"ID-AZ",-1396.6556475741,2.61267513631204e-34
"MT-AZ",-1060.22184948683,2.13286534624485e-23
"NM-AZ",-377.125658998323,0.190690116990321
"NV-AZ",-2230.10089209856,8.49264659630094e-06
"OR-AZ",-1436.15689683135,8.0050550236591e-40
"UT-AZ",-453.656784354448,0.0678525313365296
"WA-AZ",-1190.67971402569,9.91274766163447e-19
"WY-AZ",-1093.54490540233,7.54518996421348e-08
"CO-CA",1089.12668298654,1.15570455245749e-18
"ID-CA",435.622166745438,2.4926051991912e-07
"MT-CA",772.055964832712,6.02061022760001e-35
"NM-CA",1455.15215532122,7.46040837659294e-31
"NV-CA",-397.823077779014,1
"OR-CA",396.120917488192,1.53968997739153e-07
"UT-CA",1378.62102996509,1.70896517053085e-24
"WA-CA",641.598100293849,3.51829521275118e-09
"WY-CA",738.732908917216,0.000150287630727254
"ID-CO",-653.504516241098,2.46957565718768e-06
"MT-CO",-317.070718153824,0.10172709662894
"NM-CO",366.025472334683,0.256745719549693
"NV-CO",-1486.94976076555,0.0155570576080318
"OR-CO",-693.005765498344,1.12285120620276e-07
"UT-CO",289.494346978558,0.618164928236506
"WA-CO",-447.528582692687,0.0255532337551914
"WY-CO",-350.39377406932,0.618164928236506
"MT-ID",336.433798087274,1.96496297636598e-05
"NM-ID",1019.52998857578,2.43127926219413e-14
"NV-ID",-833.445244524452,0.557023825951036
"OR-ID",-39.5012492572464,1
"UT-ID",942.998863219656,6.69260268411813e-11
"WA-ID",205.975933548411,0.54512893830942
"WY-ID",303.110742171778,0.618164928236506
"NM-MT",683.096190488507,2.51835435734659e-07
"NV-MT",-1169.87904261173,0.110458374570678
"OR-MT",-375.93504734452,6.42561285586927e-09
"UT-MT",606.565065132382,4.27987393931374e-05
"WA-MT",-130.457864538862,0.968420738601014
"WY-MT",-33.3230559154954,1
"NV-NM",-1852.97523310023,0.000609317839447582
"OR-NM",-1059.03123783303,1.19500361403842e-16
"UT-NM",-76.5311253561254,1
"WA-NM",-813.554055027369,2.94700823499341e-07
"WY-NM",-716.419246404002,0.00446796879435664
"OR-NV",793.943995267206,0.618164928236506
"UT-NV",1776.44410774411,0.00137698141119771
"WA-NV",1039.42117807286,0.238999075185077
"WY-NV",1136.55598669623,0.196470731289962
"UT-OR",982.500112476902,1.23612560641003e-12
"WA-OR",245.477182805658,0.196470731289962
"WY-OR",342.611991429025,0.440755367727442
"WA-UT",-737.022929671244,1.96496297636598e-05
"WY-UT",-639.888121047877,0.0255532337551914
"WY-WA",97.134808623367,1
