"","mean.rank.diff","pval"
"CA-AZ",-238.785973539398,0.000110506033465231
"CO-AZ",-449.340290200755,2.65153928059409e-13
"ID-AZ",-244.412836639252,0.00126514744867798
"MT-AZ",-782.318313832877,7.56665077629271e-36
"NM-AZ",-241.506859153918,0.00102533175138434
"NV-AZ",1.72602668334389,1
"OR-AZ",-440.49987049987,1.87270353111775e-17
"UT-AZ",-181.30183223297,0.0148904581618996
"WA-AZ",-290.50505843363,6.78331710940531e-06
"WY-AZ",-864.89229687331,1.03263684156983e-37
"CO-CA",-210.554316661357,0.000727414483395128
"ID-CA",-5.62686309985361,1
"MT-CA",-543.532340293479,3.7299211595145e-22
"NM-CA",-2.72088561451983,1
"NV-CA",240.512000222742,0.00102533175138434
"OR-CA",-201.713896960472,1.62185602928848e-05
"UT-CA",57.4841413064282,1
"WA-CA",-51.7190848942317,1
"WY-CA",-626.106323333911,2.32547527440408e-24
"ID-CO",204.927453561504,0.00975843090617774
"MT-CO",-332.978023632122,8.1205237470931e-07
"NM-CO",207.833431046837,0.00563561530797054
"NV-CO",451.066316884099,5.85400436264532e-11
"OR-CO",8.84041970088481,1
"UT-CO",268.038457967785,1.30021134318573e-05
"WA-CO",158.835231767125,0.0500680111898976
"WY-CO",-415.552006672554,4.28243016726538e-09
"MT-ID",-537.905477193625,3.26499173652097e-16
"NM-ID",2.90597748533378,1
"NV-ID",246.138863322596,0.00425455627354181
"OR-ID",-196.087033860619,0.00276223439466482
"UT-ID",63.1110044062818,1
"WA-ID",-46.0922217943781,1
"WY-ID",-620.479460234058,1.16224788415276e-18
"NM-MT",540.811454678959,2.57999301159769e-17
"NV-MT",784.044340516221,5.08313992092309e-30
"OR-MT",341.818443333006,1.3414262884972e-09
"UT-MT",601.016481599907,1.26863325591999e-24
"WA-MT",491.813255399247,1.0122332590534e-15
"WY-MT",-82.5739830404326,1
"NV-NM",243.232885837262,0.00371185445756293
"OR-NM",-198.993011345952,0.00118452911070772
"UT-NM",60.2050269209481,1
"WA-NM",-48.9981992797119,1
"WY-NM",-623.385437719392,9.40495683549052e-20
"OR-NV",-442.225897183214,1.74270549470957e-13
"UT-NV",-183.027858916314,0.040038834278803
"WA-NV",-292.231085116974,7.86414937833837e-05
"WY-NV",-866.618323556653,2.56281438534965e-32
"UT-OR",259.198038266901,1.03047836705507e-07
"WA-OR",149.994812066241,0.0159587254317467
"WY-OR",-424.392426373439,4.50762260780626e-12
"WA-UT",-109.20322620066,0.42417621458653
"WY-UT",-683.59046464034,8.23138144854733e-27
"WY-WA",-574.38723843968,3.67573141116433e-18
