"","mean.rank.diff","pval"
"CA-AZ",-998.03557708847,8.82816320641868e-19
"CO-AZ",-1832.88336885828,2.1990818663627e-35
"ID-AZ",-1339.68249745535,1.78665431872456e-31
"MT-AZ",-2376.00644526708,1.16150099835599e-116
"NM-AZ",-1236.52731847592,2.30479161888881e-15
"NV-AZ",-785.17417162277,0.878818204781642
"OR-AZ",-607.255960224623,3.66229376943601e-07
"UT-AZ",-827.586292834891,2.41580890646448e-06
"WA-AZ",-977.783296580209,1.15541455371201e-12
"WY-AZ",-2767.36596763164,2.96568495760986e-50
"CO-CA",-834.847791769813,5.45480519502313e-11
"ID-CA",-341.646920366883,0.000144763186276692
"MT-CA",-1377.97086817861,1.92280074648399e-110
"NM-CA",-238.491741387447,0.72892194664432
"NV-CA",212.8614054657,1
"OR-CA",390.779616863847,2.23917776424061e-07
"UT-CA",170.449284253579,1
"WA-CA",20.2522805082604,1
"WY-CA",-1769.33039054317,7.12065178342108e-26
"ID-CO",493.20087140293,0.00115618339681722
"MT-CO",-543.123076408798,4.38420655149455e-05
"NM-CO",596.356050382366,0.00277207580856302
"NV-CO",1047.70919723551,0.247547641393729
"OR-CO",1225.62740863366,4.78540530234019e-24
"UT-CO",1005.29707602339,1.688538458086e-08
"WA-CO",855.100072278073,1.688538458086e-08
"WY-CO",-934.482598773356,1.9819536433684e-05
"MT-ID",-1036.32394781173,3.59217652348571e-51
"NM-ID",103.155178979436,1
"NV-ID",554.508325832583,1
"OR-ID",732.42653723073,8.69155150352672e-22
"UT-ID",512.096204620462,0.00277207580856302
"WA-ID",361.899200875143,0.00815425119757626
"WY-ID",-1427.68347017629,2.19517395504461e-16
"NM-MT",1139.47912679116,2.21278048744469e-20
"NV-MT",1590.83227364431,0.0034695501508219
"OR-MT",1768.75048504246,1.81785776581279e-196
"UT-MT",1548.42015243219,6.80812204563018e-33
"WA-MT",1398.22314868687,5.39844392633179e-49
"WY-MT",-391.359522364558,0.225620066323079
"NV-NM",451.353146853147,1
"OR-NM",629.271358251293,6.41332714484269e-06
"UT-NM",408.941025641026,0.225620066323079
"WA-NM",258.744021895707,0.878818204781642
"WY-NM",-1530.83864915572,4.90188492641093e-14
"OR-NV",177.918211398146,1
"UT-NV",-42.4121212121213,1
"WA-NV",-192.60912495744,1
"WY-NV",-1982.19179600887,0.000266789305774142
"UT-OR",-220.330332610268,0.976425041889952
"WA-OR",-370.527336355586,0.00295134067026136
"WY-OR",-2160.11000740702,6.36524352960213e-39
"WA-UT",-150.197003745318,1
"WY-UT",-1939.77967479675,2.48966978769265e-21
"WY-WA",-1789.58267105143,2.63870383758557e-22
