"State","Var","Stat","DF","PVAL","note"
"AZ","NO2",8.46607506007681,1,0.00361831334600414,""
"CA","NO2",16.9447178729297,1,3.84842488973948e-05,""
"CO","NO2",1.45047495956349,1,0.228451756525327,""
"ID","NO2",0.0455906946319486,1,0.830921565941279,""
"MT","NO2",5.4810257681668,1,0.0192239748045479,""
"NV","NO2",3.53669030330273,1,0.0600251232143622,""
"NM","NO2",5.10224060011005,1,0.0238949584901841,""
"OR","NO2",179.477634988267,1,6.30194614155306e-41,""
"UT","NO2",0.082999765094804,1,0.773272643491817,""
"WA","NO2",0.0996183606584295,1,0.752288097670214,""
"WY","NO2",17.685384361334,1,2.60621462996013e-05,""
