"","mean.rank.diff","pval"
"CA-AZ",-160.766938616939,0.0477123837557775
"CO-AZ",222.213575829855,0.00369434700324437
"ID-AZ",-98.0444686340913,1
"MT-AZ",-154.162393162393,0.233157034832545
"NM-AZ",-139.985922574158,0.2967645446465
"NV-AZ",21.5876068376068,1
"OR-AZ",-347.216265216265,9.9571672914507e-11
"UT-AZ",146.289987789988,0.159212767378352
"WA-AZ",-293.689604046747,6.41001622500836e-06
"WY-AZ",120.166720761657,1
"CO-CA",382.980514446794,1.13136982755405e-12
"ID-CA",62.7224699828473,1
"MT-CA",6.60454545454547,1
"NM-CA",20.7810160427807,1
"NV-CA",182.354545454545,0.0477123837557775
"OR-CA",-186.449326599327,0.000129298288421693
"UT-CA",307.056926406926,1.66553324895612e-09
"WA-CA",-132.922665429808,0.139396186731428
"WY-CA",280.933659378596,8.10623181683512e-05
"ID-CO",-320.258044463946,2.85676850755123e-06
"MT-CO",-376.375968992248,1.34267244800201e-08
"NM-CO",-362.199498404013,1.34267244800201e-08
"NV-CO",-200.625968992248,0.045568393142392
"OR-CO",-569.42984104612,4.12377157908468e-31
"UT-CO",-75.9235880398671,1
"WA-CO",-515.903179876602,1.73719508430696e-19
"WY-CO",-102.046855068197,1
"MT-ID",-56.1179245283018,1
"NM-ID",-41.9414539400666,1
"NV-ID",119.632075471698,1
"OR-ID",-249.171796582174,4.27146391378568e-05
"UT-ID",244.334456424079,0.000466736687456234
"WA-ID",-195.645135412656,0.0199564599711064
"WY-ID",218.211189395749,0.032828310889599
"NM-MT",14.1764705882352,1
"NV-MT",175.75,0.181866342635588
"OR-MT",-193.053872053872,0.0056935419062586
"UT-MT",300.452380952381,4.66832889478453e-06
"WA-MT",-139.527210884354,0.294758931872358
"WY-MT",274.329113924051,0.0016543207675529
"NV-NM",161.573529411765,0.243584529334887
"OR-NM",-207.230342642107,0.000821007873874172
"UT-NM",286.275910364146,5.23980927458901e-06
"WA-NM",-153.703681472589,0.139396186731428
"WY-NM",260.152643335815,0.00237000108058025
"OR-NV",-368.803872053872,2.91441045691119e-09
"UT-NV",124.702380952381,0.651472824107059
"WA-NV",-315.277210884354,1.66389850087121e-05
"WY-NV",98.5791139240506,1
"UT-OR",493.506253006253,6.992367109445e-28
"WA-OR",53.5266611695183,1
"WY-OR",467.382985977923,1.6809992469277e-14
"WA-UT",-439.979591836735,3.72651777621667e-16
"WY-UT",-26.1232670283304,1
"WY-WA",413.856324808404,2.55783149011743e-09
