"","mean.rank.diff","pval"
"CA-AZ",-768.19844656196,3.45270144931854e-11
"CO-AZ",-57.6630868448378,1
"ID-AZ",-1179.96256284507,1.84299673141815e-24
"MT-AZ",-1616.50997429435,4.58888586702582e-54
"NM-AZ",-382.073568176372,0.205645301405557
"NV-AZ",-775.606202209006,1
"OR-AZ",-1721.2077107872,6.77826999874447e-57
"UT-AZ",27.361474558671,1
"WA-AZ",-1945.81355665232,9.36432890408346e-50
"WY-AZ",-324.957089126966,1
"CO-CA",710.535359717122,5.07962791554349e-08
"ID-CA",-411.764116283109,1.23893843256078e-06
"MT-CA",-848.311527732391,5.20487640884882e-42
"NM-CA",386.124878385589,0.039817072806896
"NV-CA",-7.40775564704563,1
"OR-CA",-953.009264225235,1.52075961635125e-43
"UT-CA",795.559921120631,3.17954958424217e-08
"WA-CA",-1177.61511009036,5.88170045045777e-31
"WY-CA",443.241357434994,0.148647548764276
"ID-CO",-1122.29947600023,1.10883325381296e-18
"MT-CO",-1558.84688744951,2.86739449630414e-41
"NM-CO",-324.410481331534,0.629469899143784
"NV-CO",-717.943115364168,1
"OR-CO",-1663.54462394236,3.56592721392293e-44
"UT-CO",85.0245614035089,1
"WA-CO",-1888.15046980748,3.66791319620372e-41
"WY-CO",-267.294002282128,1
"MT-ID",-436.547411449282,3.53622162843785e-09
"NM-ID",797.888994668698,7.58022453810259e-09
"NV-ID",404.356360636064,1
"OR-ID",-541.245147942126,5.78543779972849e-12
"UT-ID",1207.32403740374,6.41184223560288e-18
"WA-ID",-765.850993807246,3.95876914137347e-12
"WY-ID",855.005473718104,6.02942582408095e-06
"NM-MT",1234.43640611798,6.5329759503522e-24
"NV-MT",840.903772085346,0.767383345129621
"OR-MT",-104.697736492844,1
"UT-MT",1643.87144885302,4.45227672889578e-37
"WA-MT",-329.303582357964,0.0105372185507234
"WY-MT",1291.55288516739,1.86590427137427e-14
"NV-NM",-393.532634032634,1
"OR-NM",-1339.13414261082,1.44636067456465e-26
"UT-NM",409.435042735043,0.263454089000139
"WA-NM",-1563.73998847594,1.00598405894317e-26
"WY-NM",57.1164790494058,1
"OR-NV",-945.60150857819,0.476810032172946
"UT-NV",802.967676767677,1
"WA-NV",-1170.20735444331,0.149298732198302
"WY-NV",450.64911308204,1
"UT-OR",1748.56918534587,6.85744164186677e-40
"WA-OR",-224.60584586512,0.407267008534448
"WY-OR",1396.25062166023,2.33547307707764e-16
"WA-UT",-1973.17503121099,1.0895471669626e-38
"WY-UT",-352.318563685637,1
"WY-WA",1620.85646752535,2.43466626017212e-18
