"State","Var","Stat","DF","PVAL","note"
"AZ","O3",7.69452662820818,1,0.00553885349141082,""
"CA","O3",17.6401713403272,1,2.66890935395739e-05,""
"CO","O3",28.5570731879409,1,9.09768820140746e-08,""
"ID","O3",0.0528666930132019,1,0.818148043028247,""
"MT","O3",15.2417551709304,1,9.45887733451107e-05,""
"NV","O3",4.68061634894696,1,0.0305048017433841,""
"NM","O3",0.152488661415658,1,0.696168359097438,""
"OR","O3",37.6784141351266,1,8.34226102486464e-10,""
"UT","O3",11.869972876238,1,0.000570462433330788,""
"WA","O3",24.026490746229,1,9.50193480527953e-07,""
"WY","O3",2.91955445647617,1,0.087512024322998,""
