"State","Var","Stat","DF","PVAL","note"
"AZ","O3",59.8148960631574,1,1.0421161674021e-14,""
"CA","O3",84.645525310824,1,3.56950844885132e-20,""
"CO","O3",3.83943387892523,1,0.0500604212153128,""
"ID","O3",115.170552017839,1,7.2212003802126e-27,""
"MT","O3",183.755719277855,1,7.33567476478868e-42,""
"NV","O3",0.0667001497879002,1,0.796203382838058,""
"NM","O3",12.5489774039155,1,0.000396423179270617,""
"OR","O3",6.54089922439478,1,0.0105422048284492,""
"UT","O3",3.44551722330968,1,0.0634235676098915,""
"WA","O3",11.8774197479515,1,0.000568186021289986,""
"WY","O3",6.25662889196721,1,0.0123729425956178,""
