"","mean.rank.diff","pval"
"CA-AZ",-50.6284188034189,1
"CO-AZ",84.2082091035579,1
"ID-AZ",-145.628890501532,0.408601750873031
"MT-AZ",-132.788855696623,0.698069512372315
"NM-AZ",86.5663290957408,1
"NV-AZ",-1.80951636439443,1
"OR-AZ",-280.562678062678,6.48536737680591e-07
"UT-AZ",5.05670024420021,1
"WA-AZ",-137.857840572126,0.374996403979541
"WY-AZ",-336.4300010819,1.53036887364876e-05
"CO-CA",134.836627906977,0.2226314214461
"ID-CA",-95.0004716981132,1
"MT-CA",-82.1604368932038,1
"NM-CA",137.19474789916,0.222851684188962
"NV-CA",48.8189024390244,1
"OR-CA",-229.934259259259,5.48167843394456e-07
"UT-CA",55.6851190476191,1
"WA-CA",-87.2294217687074,1
"WY-CA",-285.801582278481,6.53838145628503e-05
"ID-CO",-229.83709960509,0.00434942280035133
"MT-CO",-216.997064800181,0.0110200875868324
"NM-CO",2.35811999218288,1
"NV-CO",-86.0177254679523,1
"OR-CO",-364.770887166236,1.12008068037292e-12
"UT-CO",-79.1515088593577,1
"WA-CO",-222.066049675684,0.0020245514831108
"WY-CO",-420.638210185458,3.91524826505532e-09
"MT-ID",12.8400348049094,1
"NM-ID",232.195219597273,0.00484501464812355
"NV-ID",143.819374137138,0.698069512372315
"OR-ID",-134.933787561146,0.234343439921337
"UT-ID",150.685590745732,0.2226314214461
"WA-ID",7.77104992940576,1
"WY-ID",-190.801110580368,0.149731956590716
"NM-MT",219.355184792364,0.0119245875736187
"NV-MT",130.979339332228,1
"OR-MT",-147.773822366055,0.145313989549934
"UT-MT",137.845555940823,0.386832859958323
"WA-MT",-5.06898487550359,1
"WY-MT",-203.641145385277,0.0912864436742189
"NV-NM",-88.3758454601352,1
"OR-NM",-367.129007158419,3.96182843040103e-12
"UT-NM",-81.5096288515406,1
"WA-NM",-224.424169667867,0.00240508837773612
"WY-NM",-422.996330177641,5.92762351993573e-09
"OR-NV",-278.753161698284,3.58631676271216e-05
"UT-NV",6.86621660859464,1
"WA-NV",-136.048324207732,0.698069512372315
"WY-NV",-334.620484717505,0.000118547370831734
"UT-OR",285.619378306878,3.23014479782502e-09
"WA-OR",142.704837490552,0.0632143841426088
"WY-OR",-55.8673230192218,1
"WA-UT",-142.914540816327,0.164664853709068
"WY-UT",-341.4867013261,1.49907097803382e-06
"WY-WA",-198.572160509774,0.0610088812676455
