"","mean.rank.diff","pval"
"CA-AZ",45.6151980690697,1
"CO-AZ",536.981035142373,0.0081098267732331
"ID-AZ",60.2817849541966,1
"MT-AZ",57.1439573087132,1
"NM-AZ",43.6957225017973,1
"NV-AZ",495.760407816483,1
"OR-AZ",-497.781250633527,0.000146554651103765
"UT-AZ",487.39643475251,0.0556540873305214
"WA-AZ",-7.3318632083724,1
"WY-AZ",-184.047241850923,1
"CO-CA",491.365837073304,0.00145955036105445
"ID-CA",14.6665868851269,1
"MT-CA",11.5287592396435,1
"NM-CA",-1.91947556727246,1
"NV-CA",450.145209747413,1
"OR-CA",-543.396448702597,4.27200345226461e-14
"UT-CA",441.78123668344,0.0276514192648911
"WA-CA",-52.9470612774421,1
"WY-CA",-229.662439919993,1
"ID-CO",-476.699250188177,0.00389446279433921
"MT-CO",-479.83707783366,0.00109223090350202
"NM-CO",-493.285312640576,0.0543907940599983
"NV-CO",-41.2206273258907,1
"OR-CO",-1034.7622857759,4.74325170569325e-17
"UT-CO",-49.5846003898637,1
"WA-CO",-544.312898350746,0.0034116468744783
"WY-CO",-721.028276993296,0.00568482468476453
"MT-ID",-3.13782764548341,1
"NM-ID",-16.5860624523993,1
"NV-ID",435.478622862286,1
"OR-ID",-558.063035587724,1.52275457043202e-12
"UT-ID",427.114649798313,0.0516095725335619
"WA-ID",-67.613648162569,1
"WY-ID",-244.32902680512,1
"NM-MT",-13.4482348069159,1
"NV-MT",438.61645050777,1
"OR-MT",-554.92520794224,2.35140896232105e-19
"UT-MT",430.252477443797,0.0261565438629372
"WA-MT",-64.4758205170856,1
"WY-MT",-241.191199159636,1
"NV-NM",452.064685314685,1
"OR-NM",-541.476973135324,0.00040500382487763
"UT-NM",443.700712250713,0.244519595275239
"WA-NM",-51.0275857101697,1
"WY-NM",-227.74296435272,1
"OR-NV",-993.54165845001,0.649117969641192
"UT-NV",-8.36397306397294,1
"WA-NV",-503.092271024855,1
"WY-NV",-679.807649667406,1
"UT-OR",985.177685386037,1.39582017498716e-12
"WA-OR",490.449387425155,2.51448834774553e-05
"WY-OR",313.734008782604,1
"WA-UT",-494.728297960882,0.0323156692189537
"WY-UT",-671.443676603433,0.0261565438629372
"WY-WA",-176.715378642551,1
