"State","Var","Stat","DF","PVAL","note"
"AZ","PM10",36.2477534029216,1,1.73760201580188e-09,""
"CA","PM10",0.196897456994093,1,0.65723687084161,""
"CO","PM10",10.6619116803061,1,0.00109364301729998,""
"ID","PM10",0.803638709155775,1,0.370007677192005,""
"MT","PM10",0.0832938751552642,1,0.772882304261936,""
"NV","PM10",4.96797220503751,1,0.0258209025735711,""
"NM","PM10",1.23672452498138,1,0.266103252782183,""
"OR","PM10",4.3730881809891,1,0.0365107661939158,""
"UT","PM10",0.252838841248215,1,0.61508321756645,""
"WA","PM10",1.49660179584318,1,0.221194972361383,""
"WY","PM10",0.715100509908717,1,0.397755748575756,""
