"State","Var","Stat","DF","PVAL","note"
"AZ","PM10",157.871952147144,1,3.30080653521408e-36,""
"CA","PM10",19.8500707195731,1,8.37596341884962e-06,""
"CO","PM10",3.40064635930197,1,0.0651708771794523,""
"ID","PM10",32.8243922805147,1,1.00871135759752e-08,""
"MT","PM10",25.520962642414,1,4.37602473130388e-07,""
"NV","PM10",1.10706854515485,1,0.292720070593204,""
"NM","PM10",20.459789015402,1,6.08972884083611e-06,""
"OR","PM10",32.9621542446453,1,9.3970428228611e-09,""
"UT","PM10",1.83705023683667,1,0.175297071388414,""
"WA","PM10",7.41529084280203,1,0.00646718593277262,""
"WY","PM10",4.33451472719837,1,0.0373470606107111,""
