"","mean.rank.diff","pval"
"CA-AZ",183.65979020979,0.0173618514002659
"CO-AZ",24.381037567084,1
"ID-AZ",10.2565312046444,1
"MT-AZ",-62.5810306198656,1
"NM-AZ",-182.553005817712,0.06947700790066
"NV-AZ",-34.452626641651,1
"OR-AZ",-68.7279202279202,1
"UT-AZ",31.5078304928604,1
"WA-AZ",14.006017791732,1
"WY-AZ",-218.166504381694,0.0378218132596409
"CO-CA",-159.278752642706,0.0551837741748322
"ID-CA",-173.403259005146,0.0460782050939097
"MT-CA",-246.240820829656,0.000264675281501624
"NM-CA",-366.212796027502,6.06848297743877e-11
"NV-CA",-218.112416851441,0.00926579660075805
"OR-CA",-252.38771043771,1.85743592923381e-08
"UT-CA",-152.15195971693,0.0417527458295387
"WA-CA",-169.653772418058,0.0186326509130341
"WY-CA",-401.826294591484,6.72215293081706e-10
"ID-CO",-14.1245063624397,1
"MT-CO",-86.9620681869496,1
"NM-CO",-206.934043384796,0.0146157083256724
"NV-CO",-58.8336642087351,1
"OR-CO",-93.1089577950042,1
"UT-CO",7.12679292577639,1
"WA-CO",-10.375019775352,1
"WY-CO",-242.547541948778,0.0085114844063664
"MT-ID",-72.83756182451,1
"NM-ID",-192.809537022356,0.0535861043541583
"NV-ID",-44.7091578462954,1
"OR-ID",-78.9844514325646,1
"UT-ID",21.251299288216,1
"WA-ID",3.74948658708763,1
"WY-ID",-228.423035586339,0.0284503225406713
"NM-MT",-119.971975197846,1
"NV-MT",28.1284039782146,1
"OR-MT",-6.14688960805461,1
"UT-MT",94.088861112726,1
"WA-MT",76.5870484115976,1
"WY-MT",-155.585473761829,0.685253756804739
"NV-NM",148.100379176061,0.685253756804739
"OR-NM",113.825085589792,0.670954486521441
"UT-NM",214.060836310572,0.00397267564257858
"WA-NM",196.559023609444,0.0186326509130341
"WY-NM",-35.6134985639825,1
"OR-NV",-34.2752935862692,1
"UT-NV",65.9604571345114,1
"WA-NV",48.458644433383,1
"WY-NV",-183.713877740043,0.338787107096559
"UT-OR",100.235750720781,0.685253756804739
"WA-OR",82.7339380196522,1
"WY-OR",-149.438584153774,0.316364079280276
"WA-UT",-17.5018127011284,1
"WY-UT",-249.674334874555,0.00268598786540671
"WY-WA",-232.172522173426,0.010941309857155
