"State","Var","Stat","DF","PVAL","note"
"AZ","PM2.5",16.3545956618772,1,5.25286323882276e-05,""
"CA","PM2.5",2.0530710737695,1,0.151899516727951,""
"CO","PM2.5",1.06110288979149,1,0.302963776125408,""
"ID","PM2.5",14.4284869687427,1,0.000145583340448076,""
"MT","PM2.5",6.16083442606196,1,0.0130609580730183,""
"NV","PM2.5",4.94793684722938,1,0.0261218235920955,""
"NM","PM2.5",12.5880719695616,1,0.000388216414336349,""
"OR","PM2.5",14.5332317249893,1,0.000137708826937909,""
"UT","PM2.5",1.1186423296991,1,0.290210983373531,""
"WA","PM2.5",0.00107006473490954,1,0.973904378836874,""
"WY","PM2.5",5.75619110407813,1,0.0164306526132564,""
