"State","Var","Stat","DF","PVAL","note"
"AZ","PM2.5",51.4006776687431,1,7.53125381905728e-13,""
"CA","PM2.5",42.5090974169809,1,7.03542292880834e-11,""
"CO","PM2.5",14.2239816022749,1,0.000162289047467395,""
"ID","PM2.5",2.83709902479271,1,0.0921103724471733,""
"MT","PM2.5",6.37449642005623,1,0.0115771888547603,""
"NV","PM2.5",0.785984229350526,1,0.375317175239497,""
"NM","PM2.5",8.73788516595653,1,0.00311665779502776,""
"OR","PM2.5",0.719129268944926,1,0.396429673307503,""
"UT","PM2.5",1.56921328191867,1,0.210321301028193,""
"WA","PM2.5",1.77832080435128,1,0.18235565724639,""
"WY","PM2.5",16.8407245042927,1,4.06515204800027e-05,""
