"","mean.rank.diff","pval"
"CA-AZ",-256.581908831909,2.56797376044365e-05
"CO-AZ",-80.5908787393163,1
"ID-AZ",105.232381873891,1
"MT-AZ",-15.9820346859183,1
"NM-AZ",-235.353723018977,0.00225110182108123
"NV-AZ",-104.983218678341,1
"OR-AZ",-330.092764515178,7.75555946005922e-10
"UT-AZ",-38.5297354009929,1
"WA-AZ",17.6858538287109,1
"WY-AZ",-127.634053081422,1
"CO-CA",175.991030092593,0.0156175627347243
"ID-CA",361.8142907058,4.44740788007727e-10
"MT-CA",240.599874145991,0.000293279648345604
"NM-CA",21.2281858129315,1
"NV-CA",151.598690153568,0.283816771070629
"OR-CA",-73.5108556832695,1
"UT-CA",218.052173430916,9.69057172057884e-05
"WA-CA",274.26776266062,4.53654466553433e-07
"WY-CA",128.947855750487,0.881356252900248
"ID-CO",185.823260613208,0.0521135942894545
"MT-CO",64.608844053398,1
"NM-CO",-154.762844279661,0.218435243248193
"NV-CO",-24.3923399390244,1
"OR-CO",-249.501885775862,6.59647393342316e-06
"UT-CO",42.0611433383234,1
"WA-CO",98.2767325680272,1
"WY-CO",-47.0431743421053,1
"MT-ID",-121.21441655981,1
"NM-ID",-340.586104892869,5.78926976234716e-07
"NV-ID",-210.215600552232,0.0479925431004977
"OR-ID",-435.32514638907,4.85278772925125e-16
"UT-ID",-143.762117274884,0.295644309822712
"WA-ID",-87.5465280451804,1
"WY-ID",-232.866434955313,0.0187963635074538
"NM-MT",-219.371688333059,0.0105178405122887
"NV-MT",-89.0011839924224,1
"OR-MT",-314.11072982926,4.34165554209505e-08
"UT-MT",-22.5477007150746,1
"WA-MT",33.6678885146292,1
"WY-MT",-111.652018395503,1
"NV-NM",130.370504340637,1
"OR-NM",-94.739041496201,1
"UT-NM",196.823987617984,0.00990263367577716
"WA-NM",253.039576847688,0.000200591994518234
"WY-NM",107.719669937556,1
"OR-NV",-225.109545836838,0.00228553233525171
"UT-NV",66.4534832773478,1
"WA-NV",122.669072507052,1
"WY-NV",-22.6508344030809,1
"UT-OR",291.563029114185,9.21533994768245e-10
"WA-OR",347.778618343889,7.85259960495826e-13
"WY-OR",202.458711433757,0.0160894447802225
"WA-UT",56.2155892297038,1
"WY-UT",-89.1043176804287,1
"WY-WA",-145.319906910133,0.638047644127518
