"","mean.rank.diff","pval"
"CA-AZ",-1590.98374947691,5.34855475266705e-48
"CO-AZ",-1040.25316991857,1.50587717669606e-11
"ID-AZ",-796.411006754881,2.79145434782933e-11
"MT-AZ",-1268.52156226235,8.45253560765925e-34
"NM-AZ",-2163.08138629284,2.25601542671648e-47
"NV-AZ",-1249.63062871708,0.0940129959624247
"OR-AZ",-710.050818405303,8.05358619627474e-10
"UT-AZ",-511.898978885427,0.0235615031398017
"WA-AZ",-608.52473835276,6.36415860182183e-05
"WY-AZ",-894.381183040803,2.62265841041762e-05
"CO-CA",550.730579558349,8.54468739887078e-05
"ID-CA",794.572742722033,1.61902026605352e-24
"MT-CA",322.462187214566,4.37541666032945e-06
"NM-CA",-572.09763681592,8.54468739887078e-05
"NV-CA",341.353120759837,1
"OR-CA",880.932931071612,5.18654280008334e-37
"UT-CA",1079.08477059149,3.97406704328135e-15
"WA-CA",982.459011124155,9.3770020680955e-22
"WY-CA",696.602566436112,0.000478392177643876
"ID-CO",243.842163163685,0.854247748683366
"MT-CO",-228.268392343783,0.854247748683366
"NM-CO",-1122.82821637427,1.50587717669606e-11
"NV-CO",-209.377458798511,1
"OR-CO",330.202351513263,0.109013786875244
"UT-CO",528.354191033139,0.027068427874528
"WA-CO",431.728431565806,0.0410381820022971
"WY-CO",145.871986877763,1
"MT-ID",-472.110555507467,8.28032506937491e-11
"NM-ID",-1366.67037953795,4.91865075601276e-26
"NV-ID",-453.219621962196,1
"OR-ID",86.3601883495785,1
"UT-ID",284.512027869454,0.706361032866617
"WA-ID",187.886268402121,1
"WY-ID",-97.9701762859213,1
"NM-MT",-894.559824030486,1.09148000509026e-12
"NV-MT",18.8909335452713,1
"OR-MT",558.470743857046,1.11243842429034e-19
"UT-MT",756.622583376921,5.59200904204096e-08
"WA-MT",659.996823909589,4.25940597103333e-11
"WY-MT",374.140379221546,0.4153236400249
"NV-NM",913.450757575758,0.752019457768851
"OR-NM",1453.03056788753,1.57329544048026e-31
"UT-NM",1651.18240740741,3.53203427987866e-22
"WA-NM",1554.55664794008,9.96990680998423e-27
"WY-NM",1268.70020325203,9.34874506728928e-10
"OR-NV",539.579810311775,1
"UT-NV",737.73164983165,1
"WA-NV",641.105890364317,1
"WY-NV",355.249445676275,1
"UT-OR",198.151839519875,1
"WA-OR",101.526080052543,1
"WY-OR",-184.3303646355,1
"WA-UT",-96.6257594673325,1
"WY-UT",-382.482204155375,0.903335588486347
"WY-WA",-285.856444688043,1
