"State","Var","Stat","DF","PVAL","note"
"AZ","SO2",16.283946805629,1,5.45239208878993e-05,""
"CA","SO2",12.5561867973055,1,0.000394896724425752,""
"CO","SO2",7.96845079631361,1,0.00475996594849485,""
"ID","SO2",2.1874987264051,1,0.139135099137084,""
"MT","SO2",0.819502277711884,1,0.365325728313723,""
"NV","SO2",0.240768527719431,1,0.62365159380314,""
"NM","SO2",24.3620139043827,1,7.98273401485264e-07,""
"OR","SO2",219.391212005295,1,1.2279384374395e-49,""
"UT","SO2",22.9272433229784,1,1.68250272894681e-06,""
"WA","SO2",51.0918520689854,1,8.8143402846096e-13,""
"WY","SO2",2.48143812221561,1,0.115196878256107,""
