"State","Var","Stat","DF","PVAL","note"
"AZ","SO2",0.15066377843939,1,0.697901833258919,""
"CA","SO2",79.991629646171,1,3.75999200231385e-19,""
"CO","SO2",21.5515698260974,1,3.44440628975397e-06,""
"ID","SO2",160.396165565709,1,9.27025288554946e-37,""
"MT","SO2",251.051871416019,1,1.53152508347618e-56,""
"NV","SO2",0.0987375297262531,1,0.753349939910708,""
"NM","SO2",1.4580820583161,1,0.227235532007158,""
"OR","SO2",57.1765307198702,1,3.98397082842376e-14,""
"UT","SO2",3.12840767230058,1,0.0769388555677844,""
"WA","SO2",60.7708584938162,1,6.41201115823707e-15,""
"WY","SO2",4.50053026145067,1,0.0338843445361988,""
