unique_ID,Latitude,Longitude,Date,Year,State,Source,CO,CO_dist,CO_nobs,NO2,NO2_dist,NO2_nobs,O3,O3_dist,O3_nobs,SO2,SO2_dist,SO2_nobs,PM2.5,PM2.5_dist,PM2.5_daydiff,PM10,PM10_dist,PM10_daydiff,Lead,Lead_dist,Lead_daydiff,wind,wind_dist,tavg,tavg_dist,tmax,tmax_dist,tmin,tmin_dist,precip,precip_dist,PDSI,PM2.5_exc_val,PM2.5_exc_dist,PM2.5_exc_daydiff,PM10_exc_val,PM10_exc_dist,PM10_exc_daydiff,Lead_exc_val,Lead_exc_dist,Lead_exc_daydiff,CO_exc_val,CO_exc_dist,NO2_exc_val,NO2_exc_dist,O3_exc_val,O3_exc_dist,SO2_exc_val,SO2_exc_dist
1006,42.0579,-115.5204,2014-09-03,2014,ID,DOI,0.217,113.2361315,24,7.647,114.8716973,19,0.049,92.87465761,24,0.396,114.6732657,24,6.792,168.7008611,0,35,85.31289571,2,0,114.6732657,1,7.7,60.48537496,13.8,13.6674955,18.9,7.037307941,-0.6,7.037307941,0,7.037307941,-3.73,41.8,378.467,1,155,639.581,1,0.244,981.621,1,NA,NA,NA,NA,0.072,349.979,NA,NA
1123,36.6988,-118.9059,2012-11-14,2012,CA,DOI,0.705,45.73172371,22,24.261,33.19586611,23,0.043,11.51132464,24,0.9,48.49808884,23,9.5,33.19586611,0,40,33.19586611,0,0.004,48.49808884,3,0.5,45.4413808,9.9,2.68434971,14.4,2.68434971,7.2,2.68434971,0,4.236160747,-2.88,37,48.498,0,NA,NA,NA,0.166,190.527,2,NA,NA,NA,NA,NA,NA,NA,NA
1124,36.5576,-118.1249,2012-11-14,2012,CA,DOI,0.705,90.1619829,22,24.261,66.74424466,23,0.043,36.34651187,24,0.043,68.31291007,23,5.6,14.91411698,0,11,4.958875845,0,0.004,92.84630223,3,1.9,57.72746658,9.6,21.0712107,20,17.19891755,-1.7,17.19891755,0,17.19891755,-2.23,38.458,86.224,0,NA,NA,NA,0.166,176.511,2,NA,NA,NA,NA,NA,NA,NA,NA
1125,35.8027,-113.9619,2012-11-30,2012,AZ,DOI,0.033,65.62911766,24,1.375,69.15281012,24,0.032,51.02348913,24,0.746,66.77673997,24,3.2,35.90547632,1,15,30.40890434,1,0.001,66.77673997,1,4.5,37.7259657,10.9,9.512335175,13.9,9.512335175,8.3,9.512335175,0,16.05623504,-2.26,40.958,648.777,1,167,221.985,0,0.154,921.845,1,NA,NA,NA,NA,NA,NA,NA,NA
1126,35.0392,-108.3575,2012-12-31,2012,NM,DOI,0.264,96.30833192,14,11.5,100.5283879,18,0.031,88.32802979,20,0.681,100.5283879,21,1.2,84.21081459,2,5,108.4858297,0,0.051,100.5283879,2,4.4,41.08165805,-6.6,14.09540981,5.6,0.47618493,-6.7,0.47618493,8.6,0.47618493,-3.96,36.8,525.468,0,NA,NA,NA,NA,NA,NA,NA,NA,123.5,824.486,NA,NA,NA,NA
1127,34.1524,-107.871,2012-12-21,2012,NM,DOI,0.738,91.39736035,24,31.808,99.83282941,24,0.013,79.11968052,24,1.833,99.83282941,24,14.21,91.39736035,0,22,113.9230011,0,0.003,99.83282941,2,0,37.92713384,3.7,54.86155602,11.1,15.27996725,-17.8,15.27996725,0,0.88814809,-4.52,35.792,826.892,0,598,675.099,0,0.152,532.259,1,NA,NA,NA,NA,0.087,89.254,78,1017.637
1128,36.463,-116.8718,2012-12-14,2012,CA,DOI,0.323,99.25416967,22,2.727,56.56758506,22,0.035,3.426140013,24,0.938,102.3910535,24,1,55.60476827,0,4,54.52473832,0,0.004,102.3910535,3,4.3,48.15385985,-1.7,26.58833593,19.4,0.278148008,11.1,0.278148008,0,0.278148008,-2.05,41.458,441.337,0,151,366.782,1,0.247,231.76,0,NA,NA,NA,NA,NA,NA,93,420.398
1129,36.1281,-114.8764,2012-12-14,2012,NV,DOI,0.079,10.10260649,24,7.458,13.49667966,24,0.039,7.657566145,24,0.938,11.34295427,24,1.521,11.34295427,0,3,69.60763148,0,0.004,11.34295427,3,5.1,16.49910956,5.3,30.77535137,15,15.29432718,5,15.29432718,19.6,4.84689829,-0.4,41.458,540.442,0,151,271.754,1,0.247,248.24,0,NA,NA,NA,NA,NA,NA,93,317.617
1130,47.4618,-115.9264,2012-12-14,2012,ID,DOI,0.971,70.88064837,24,14.792,268.4483313,24,0.021,190.027515,24,0.426,190.027515,23,11.438,15.38993013,0,8,15.38993013,0,0,267.8534853,3,0,12.52726209,-4.1,3.345663075,0.6,0.962627144,-2.8,0.962627144,0,0.962627144,1.07,41.458,580.805,0,151,1020.819,1,0.247,993.935,0,NA,NA,NA,NA,NA,NA,93,1035.491
1131,44.73,-121.4,2012-12-31,2012,OR,DOI,0.596,79.11739768,24,14.312,79.11739768,24,0.013,79.11739768,24,1.254,79.11739768,24,24.4,40.44139731,2,12,216.8239184,2,0.003,79.11739768,2,1.4,35.23465701,-6.9,12.71926918,0,7.343861886,-10,7.343861886,0,7.343861886,-0.87,38.9,556.068,0,NA,NA,NA,NA,NA,NA,NA,NA,123.5,1233.047,NA,NA,NA,NA
