"State","Date","Lead"
6,"2007-01-18",0.0071
6,"2007-01-30",0.007
6,"2007-02-01",7e-04
6,"2007-02-11",7e-04
6,"2007-02-27",7e-04
6,"2007-03-07",0.003
6,"2007-03-19",0.0034
6,"2007-03-31",0.0033
6,"2007-04-24",0.0035
6,"2007-05-06",0.0072
6,"2007-05-18",0.0033
6,"2007-05-25",0.0048
6,"2007-05-30",0.0033
6,"2007-06-11",0.0067
6,"2007-06-23",0.0073
6,"2007-08-22",0.0031
6,"2007-12-14",0.012
6,"2007-12-20",0.0068
6,"2007-12-26",0.0047
6,"2007-12-31",0.0065
6,"2007-01-06",0.0024
6,"2007-01-18",0.0046
6,"2007-01-30",0.0059
6,"2007-02-11",7e-04
6,"2007-02-23",0.0043
6,"2007-03-07",0.0058
6,"2007-03-19",0.0054
6,"2007-03-31",0.0049
6,"2007-04-12",0.0021
6,"2007-04-24",0.0019
6,"2007-05-06",0.0031
6,"2007-05-18",0.0045
6,"2007-05-30",0.0056
6,"2007-06-11",0.0029
6,"2007-06-23",0.0036
6,"2007-07-05",0.044
6,"2007-07-17",0.0086
6,"2007-07-29",0.0093
6,"2007-10-21",0.0019
6,"2007-11-14",0.0027
6,"2007-01-12",0.026
6,"2007-02-11",0.0017
6,"2007-02-23",0.0041
6,"2007-03-07",0.0067
6,"2007-03-19",0.0041
6,"2007-03-31",0.0055
6,"2007-04-14",0.0033
6,"2007-04-24",0.0048
6,"2007-05-08",0.0065
6,"2007-05-18",0.006
6,"2007-05-30",0.0052
6,"2007-06-11",0.0097
6,"2007-06-23",0.011
6,"2007-11-02",0.0076
6,"2007-11-14",0.0073
6,"2007-11-26",0.013
6,"2007-01-06",0.007
6,"2007-01-06",0.014
6,"2007-01-06",0.014
6,"2007-01-12",0.0052
6,"2007-01-12",0.0052
6,"2007-01-18",0.034
6,"2007-01-24",0.022
6,"2007-01-30",0.034
6,"2007-02-05",0.022
6,"2007-02-11",0.017
6,"2007-02-11",0.017
6,"2007-02-17",0.0059
6,"2007-02-23",0.0049
6,"2007-02-23",0.0049
6,"2007-03-01",0.0053
6,"2007-03-07",0.054
6,"2007-03-13",0.076
6,"2007-03-19",0.051
6,"2007-03-25",0.023
6,"2007-03-31",0.035
6,"2007-04-06",0.012
6,"2007-04-12",0.0089
6,"2007-04-12",0.0089
6,"2007-04-18",0.065
6,"2007-04-24",0.011
6,"2007-04-30",0.052
6,"2007-05-06",0.0053
6,"2007-05-12",0.0045
6,"2007-05-18",0.053
6,"2007-05-24",0.053
6,"2007-05-30",0.028
6,"2007-06-05",0.077
6,"2007-06-05",0.077
6,"2007-06-11",0.034
6,"2007-06-17",0.0072
6,"2007-06-23",0.058
6,"2007-06-29",0.018
6,"2007-07-05",0.056
6,"2007-07-11",0.011
6,"2007-07-17",0.018
6,"2007-07-23",0.066
6,"2007-07-29",0.014
6,"2007-08-04",0.053
6,"2007-08-10",0.011
6,"2007-08-16",0.04
6,"2007-08-22",0.0088
6,"2007-08-28",0.007
6,"2007-09-03",0.014
6,"2007-09-09",0.016
6,"2007-09-15",0.021
6,"2007-09-21",0.0023
6,"2007-09-27",0.011
6,"2007-10-03",0.0133
6,"2007-10-09",0.0513
6,"2007-10-15",0.0671
6,"2007-10-21",0.0053
6,"2007-10-21",0.0053
6,"2007-10-27",0.0418
6,"2007-11-02",0.0067
6,"2007-11-08",0.0308
6,"2007-11-14",0.0317
6,"2007-11-20",0.1009
6,"2007-11-26",0.0355
6,"2007-12-02",0.0029
6,"2007-12-08",0.0023
6,"2007-12-14",0.0068
6,"2007-12-20",0.0358
6,"2007-12-26",0.0446
6,"2007-01-12",0.021
6,"2007-01-24",0.0026
6,"2007-02-05",0.025
6,"2007-02-17",0.0047
6,"2007-03-01",0.0048
6,"2007-03-13",0.09
6,"2007-03-25",0.025
6,"2007-04-18",0.013
6,"2007-04-30",0.069
6,"2007-05-12",0.0065
6,"2007-05-24",0.064
6,"2007-06-05",0.066
6,"2007-06-29",0.02
6,"2007-07-11",0.013
6,"2007-07-23",0.075
6,"2007-11-08",0.036
6,"2007-11-20",0.11
6,"2007-01-06",0.0046
6,"2007-01-18",0.0027
6,"2007-01-30",0.011
6,"2007-02-05",0.0042
6,"2007-02-11",7e-04
6,"2007-02-23",0.0032
6,"2007-03-07",0.0057
6,"2007-03-19",0.0065
6,"2007-03-31",0.0062
6,"2007-04-12",0.013
6,"2007-04-28",0.0095
6,"2007-05-06",0.0047
6,"2007-05-18",0.0077
6,"2007-05-24",0.0077
6,"2007-05-30",0.013
6,"2007-06-11",0.0043
6,"2007-06-23",0.0042
6,"2007-07-11",0.0073
6,"2007-07-20",0.007
6,"2007-08-22",0.0094
6,"2007-11-02",0.0071
6,"2007-11-14",0.0072
6,"2007-11-29",0.0094
6,"2007-01-06",0.0039
6,"2007-01-18",0.012
6,"2007-01-30",0.0083
6,"2007-02-23",7e-04
6,"2007-03-07",0.005
6,"2007-03-19",0.0053
6,"2007-03-31",0.006
6,"2007-04-12",0.012
6,"2007-04-28",0.0061
6,"2007-05-06",0.0015
6,"2007-05-18",0.0063
6,"2007-05-24",0.0038
6,"2007-05-30",0.0049
6,"2007-06-11",0.0047
6,"2007-07-11",0.0077
6,"2007-07-20",0.0099
6,"2007-11-02",0.0085
6,"2007-11-14",0.0074
6,"2007-11-26",0.012
6,"2007-11-29",0.01
6,"2007-01-12",0.0039
6,"2007-01-24",0.0075
6,"2007-02-05",0.012
6,"2007-02-17",0.0056
6,"2007-03-01",0.0058
6,"2007-03-13",0.011
6,"2007-03-25",0.025
6,"2007-04-06",0.02
6,"2007-04-30",0.014
6,"2007-05-12",0.02
6,"2007-05-24",0.023
6,"2007-06-05",0.011
6,"2007-06-17",0.016
6,"2007-06-29",0.018
6,"2007-07-11",0.013
6,"2007-11-08",0.016
6,"2007-11-20",0.022
6,"2007-01-12",0.0051
6,"2007-02-05",0.015
6,"2007-02-21",0.0088
6,"2007-03-01",0.0044
6,"2007-03-13",0.018
6,"2007-03-25",0.0047
6,"2007-04-06",0.013
6,"2007-04-18",0.0096
6,"2007-04-30",0.012
6,"2007-05-12",0.018
6,"2007-05-24",0.0068
6,"2007-06-05",0.026
6,"2007-06-17",0.0075
6,"2007-06-29",0.017
6,"2007-07-11",0.0087
6,"2007-07-23",0.011
6,"2007-08-04",0.011
6,"2007-11-08",0.013
6,"2007-11-20",0.021
6,"2007-01-06",0.02
6,"2007-01-12",0.01
6,"2007-01-18",0.01
6,"2007-01-24",0.03
6,"2007-01-30",0.01
6,"2007-02-05",0.05
6,"2007-02-11",0.01
6,"2007-02-17",0.01
6,"2007-02-23",0
6,"2007-03-07",0.03
6,"2007-03-13",0.03
6,"2007-03-19",0.02
6,"2007-03-25",0.01
6,"2007-03-31",0.03
6,"2007-04-06",0.01
6,"2007-04-12",0.02
6,"2007-04-18",0.01
6,"2007-04-24",0.01
6,"2007-04-30",0.01
6,"2007-05-06",0.01
6,"2007-05-12",0.02
6,"2007-05-18",0.02
6,"2007-05-24",0.01
6,"2007-05-30",0.02
6,"2007-06-05",0.02
6,"2007-06-11",0.02
6,"2007-06-17",0.01
6,"2007-06-23",0.02
6,"2007-06-29",0.02
6,"2007-07-11",0.02
6,"2007-07-17",0.03
6,"2007-07-23",0.03
6,"2007-07-29",0.02
6,"2007-08-04",0.02
6,"2007-08-10",0.02
6,"2007-08-16",0.1
6,"2007-08-22",0.03
6,"2007-08-28",0.02
6,"2007-09-03",0.04
6,"2007-09-09",0.01
6,"2007-09-15",0.02
6,"2007-09-21",0.02
6,"2007-09-27",0.02
6,"2007-10-03",0.03
6,"2007-10-09",0.02
6,"2007-10-15",0.01
6,"2007-10-21",0.02
6,"2007-10-27",0.02
6,"2007-11-02",0.02
