"Date","State","Lead","Type"
2007-01-06,"6",0.014,"Non-Fire Observations"
2007-01-06,"6",0.04,"Non-Fire Observations"
2007-01-06,"6",0.01,"Non-Fire Observations"
2007-01-06,"6",0.0032,"Non-Fire Observations"
2007-01-06,"8",0.0026,"Non-Fire Observations"
2007-01-06,"6",0.014,"Non-Fire Observations"
2007-01-06,"6",0.0054,"Non-Fire Observations"
2007-01-06,"6",0.01,"Non-Fire Observations"
2007-01-06,"6",0.01,"Non-Fire Observations"
2007-01-06,"6",0.01,"Non-Fire Observations"
2007-01-06,"6",0.0039,"Non-Fire Observations"
2007-01-06,"6",0.02,"Non-Fire Observations"
2007-01-06,"6",0.01,"Non-Fire Observations"
2007-01-06,"6",0.011,"Non-Fire Observations"
2007-01-06,"6",0.01,"Non-Fire Observations"
2007-01-06,"8",0.0028,"Non-Fire Observations"
2007-01-06,"6",0.011,"Non-Fire Observations"
2007-01-06,"6",0.01,"Non-Fire Observations"
2007-01-06,"6",0.007,"Non-Fire Observations"
2007-01-06,"6",0.0024,"Non-Fire Observations"
2007-01-06,"6",0.0057,"Non-Fire Observations"
2007-01-06,"6",0.0046,"Non-Fire Observations"
2007-01-06,"6",0.01,"Non-Fire Observations"
2007-01-09,"6",0.003,"Non-Fire Observations"
2007-01-10,"6",0.015,"Non-Fire Observations"
2007-01-12,"6",0.021,"Non-Fire Observations"
2007-01-12,"6",0.01,"Non-Fire Observations"
2007-01-12,"6",0.01,"Non-Fire Observations"
2007-01-12,"6",7e-04,"Non-Fire Observations"
2007-01-12,"6",0.01,"Non-Fire Observations"
2007-01-12,"8",0.0042,"Non-Fire Observations"
2007-01-12,"6",0.0052,"Non-Fire Observations"
2007-01-12,"6",0.0051,"Non-Fire Observations"
2007-01-12,"6",0.01,"Non-Fire Observations"
2007-01-12,"6",0.0069,"Non-Fire Observations"
2007-01-12,"6",0,"Non-Fire Observations"
2007-01-12,"6",0.01,"Non-Fire Observations"
2007-01-12,"6",0.0082,"Non-Fire Observations"
2007-01-12,"6",0.01,"Non-Fire Observations"
2007-01-12,"6",0.01,"Non-Fire Observations"
2007-01-12,"6",0.01,"Non-Fire Observations"
2007-01-12,"8",0.0036,"Non-Fire Observations"
2007-01-12,"6",0.0052,"Non-Fire Observations"
2007-01-12,"6",0,"Non-Fire Observations"
2007-01-12,"6",0.0028,"Non-Fire Observations"
2007-01-12,"6",0.0039,"Non-Fire Observations"
2007-01-12,"6",0.026,"Non-Fire Observations"
2007-01-18,"6",0.01,"Non-Fire Observations"
2007-01-18,"6",0.01,"Non-Fire Observations"
2007-01-18,"6",0.01,"Non-Fire Observations"
2007-01-18,"6",0.01,"Non-Fire Observations"
2007-01-18,"6",0.01,"Non-Fire Observations"
2007-01-18,"6",0.0071,"Non-Fire Observations"
2007-01-18,"6",0.02,"Non-Fire Observations"
2007-01-18,"6",0.0055,"Non-Fire Observations"
2007-01-18,"6",0,"Non-Fire Observations"
2007-01-18,"6",0.011,"Non-Fire Observations"
2007-01-18,"6",0.0092,"Non-Fire Observations"
2007-01-18,"6",0.0046,"Non-Fire Observations"
2007-01-18,"6",0.012,"Non-Fire Observations"
2007-01-18,"6",0.01,"Non-Fire Observations"
2007-01-18,"6",0.02,"Non-Fire Observations"
2007-01-18,"6",0.012,"Non-Fire Observations"
2007-01-18,"8",0.0084,"Non-Fire Observations"
2007-01-18,"8",0.0087,"Non-Fire Observations"
2007-01-18,"6",0.0027,"Non-Fire Observations"
2007-01-18,"6",0.01,"Non-Fire Observations"
2007-01-18,"6",0.034,"Non-Fire Observations"
2007-01-18,"6",0.015,"Non-Fire Observations"
2007-01-24,"6",0.01,"Non-Fire Observations"
2007-01-24,"6",0.0026,"Non-Fire Observations"
2007-01-24,"6",0.0075,"Non-Fire Observations"
2007-01-24,"6",0.0054,"Non-Fire Observations"
2007-01-24,"6",0.026,"Non-Fire Observations"
2007-01-24,"6",0.01,"Non-Fire Observations"
2007-01-24,"6",0.03,"Non-Fire Observations"
2007-01-24,"6",0.027,"Non-Fire Observations"
2007-01-24,"8",0.0086,"Non-Fire Observations"
2007-01-24,"8",0.0079,"Non-Fire Observations"
2007-01-24,"6",0.03,"Non-Fire Observations"
2007-01-24,"6",0.01,"Non-Fire Observations"
2007-01-24,"6",0.02,"Non-Fire Observations"
2007-01-24,"6",0.01,"Non-Fire Observations"
2007-01-24,"6",0.01,"Non-Fire Observations"
2007-01-24,"6",0.02,"Non-Fire Observations"
2007-01-24,"6",0.03,"Non-Fire Observations"
2007-01-24,"6",0.022,"Non-Fire Observations"
2007-01-24,"6",0.03,"Non-Fire Observations"
2007-01-24,"6",0.01,"Non-Fire Observations"
2007-02-05,"6",0.0067,"Non-Fire Observations"
2007-02-05,"6",0.01,"Non-Fire Observations"
2007-02-05,"8",0.0097,"Non-Fire Observations"
2007-02-05,"6",0.0025,"Non-Fire Observations"
2007-02-05,"6",0.025,"Non-Fire Observations"
2007-02-05,"6",0.011,"Non-Fire Observations"
2007-02-05,"6",0.0089,"Non-Fire Observations"
2007-02-05,"6",0.01,"Non-Fire Observations"
2007-02-05,"8",0.0093,"Non-Fire Observations"
2007-02-05,"6",0.04,"Non-Fire Observations"
2007-02-05,"6",0.015,"Non-Fire Observations"
2007-02-05,"6",0.0042,"Non-Fire Observations"
2007-02-05,"6",0.05,"Non-Fire Observations"
2007-02-05,"6",0.022,"Non-Fire Observations"
2007-02-05,"6",0.01,"Non-Fire Observations"
2007-02-05,"6",0.03,"Non-Fire Observations"
2007-02-05,"6",0,"Non-Fire Observations"
2007-02-05,"6",0.02,"Non-Fire Observations"
2007-02-05,"6",0.007,"Non-Fire Observations"
2007-02-05,"6",0.012,"Non-Fire Observations"
2007-02-05,"6",0.01,"Non-Fire Observations"
2007-02-05,"6",0.022,"Non-Fire Observations"
2007-02-06,"6",0.01,"Non-Fire Observations"
2007-02-06,"6",0.011,"Non-Fire Observations"
2007-02-11,"6",0.01,"Non-Fire Observations"
2007-02-11,"6",0,"Non-Fire Observations"
2007-02-11,"6",0.01,"Non-Fire Observations"
2007-02-11,"6",0.01,"Non-Fire Observations"
2007-02-11,"6",0,"Non-Fire Observations"
2007-02-11,"6",7e-04,"Non-Fire Observations"
2007-02-11,"6",0,"Non-Fire Observations"
2007-02-11,"6",0,"Non-Fire Observations"
2007-02-11,"6",0.0017,"Non-Fire Observations"
2007-02-11,"6",0.0055,"Non-Fire Observations"
2007-02-11,"6",7e-04,"Non-Fire Observations"
2007-02-11,"6",7e-04,"Non-Fire Observations"
2007-02-11,"6",0.01,"Non-Fire Observations"
2007-02-11,"6",7e-04,"Non-Fire Observations"
2007-02-11,"6",0,"Non-Fire Observations"
2007-02-11,"6",0.024,"Non-Fire Observations"
2007-02-11,"8",0.0077,"Non-Fire Observations"
2007-02-11,"8",0.0081,"Non-Fire Observations"
2007-02-11,"6",0.017,"Non-Fire Observations"
2007-02-11,"6",0.0028,"Non-Fire Observations"
2007-02-11,"6",0.017,"Non-Fire Observations"
2007-02-14,"6",0.0045,"Non-Fire Observations"
2007-02-14,"6",0.023,"Non-Fire Observations"
2007-02-17,"6",0,"Non-Fire Observations"
2007-02-17,"6",0.0032,"Non-Fire Observations"
2007-02-17,"6",0.01,"Non-Fire Observations"
2007-02-17,"6",0.02,"Non-Fire Observations"
2007-02-17,"6",0.01,"Non-Fire Observations"
2007-02-17,"8",0.0051,"Non-Fire Observations"
2007-02-17,"6",0.0026,"Non-Fire Observations"
2007-02-17,"6",0.0066,"Non-Fire Observations"
2007-02-17,"6",0.01,"Non-Fire Observations"
2007-02-17,"6",0.01,"Non-Fire Observations"
2007-02-17,"6",7e-04,"Non-Fire Observations"
2007-02-17,"6",0.04,"Non-Fire Observations"
2007-02-17,"6",0.0059,"Non-Fire Observations"
2007-02-17,"8",0.0051,"Non-Fire Observations"
